2   1,2   1,2   1,2   1,2   1,2   1,2   1,2   1,2   1,2   1,2   1,2   1,2   1,2   1,2   1,2   1,2   1,2   1,2   1,2   1
2   1,57||1,52||1,51||1,54||1,53||1,3,3,3,3,3,3,3,3,52||1,54||1,50||1,53||1,57||1,2   1
2   1,52||4Le Monde de Duniya (1/3),54||4Le Monde de Duniya (1/3),53||4Le Monde de Duniya (1/3),50||4Le Monde de Duniya (1/3),52||4Le Monde de Duniya (1/3),3,3,3,75^^4Sambra,3,3,3,3,50||4Le Monde de Duniya (3/3),51||4Le Monde de Duniya (3/3),53||4Le Monde de Duniya (3/3),52||4Le Monde de Duniya (3/3),54||4Le Monde de Duniya (3/3),2   1
2   1,3,3,3,3,3,3,3,1   1,17 [4Sambra,17] 4Sambra,17Â° 1,3,3,3,3,3,3,3,2   1
2   1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2   1
2   1,53||1,50||1,51||1,52||1,51||1,3,3,3,3,3,3,3,3,53||1,57||1,50||1,52||1,54||1,2   1
2   1,52||4Le Monde de Duniya (2/3),53||4Le Monde de Duniya (2/3),54||4Le Monde de Duniya (2/3),53||4Le Monde de Duniya (2/3),57||4Le Monde de Duniya (2/3),3,3,3,3,3,3,3,3,50||4Vilsvik et la Pierre Divine,52||4Vilsvik et la Pierre Divine,54||4Vilsvik et la Pierre Divine,53||4Vilsvik et la Pierre Divine,51||4Vilsvik et la Pierre Divine,2   1
2   1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2   1
2   1,3,71^^4Nicoca,3,3,3,3,3,3,3   3,3,3,3,3,3,3,3,3,3,2   1
2   1,2   1,2   1,2   1,2   1,2   1,2   1,2   1,2   1,37--2village_east,37--2village_east,2   1,2   1,2   1,2   1,2   1,2   1,2   1,2   1,2   1
