1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1
1   1,3,57||,57||,57||2house_hero_1,57->1,1   1,6,4   1,4   1,3,67 .1,67. 1,1   1,3,3,3,6   3,6,1   1
1   1,3,1   1,1   1,1   1,1   1,1   1,6,4   1,4   1,3,3,3,1   1,75.^4Aspa,3,3,4   1,4   1,1   1
1   1,3,3,3,3,3,1   1,3,3,3,3,3,3,1   1,3,3,3,4   1,4   1,1   1
1   1,3,3,3,3,3,1   1,1   1,1   1,1   1,35| ,1   1,1   1,1   1,3,3,3,3,3,1   1
1   1,3,3,3,3,3,3,3,3,3,3,3,3,1   1,3,3,3,71^^4Taza,3,1   1
1   1,3,3,3,3,3,3,3,3,3,3,3,3,35__,3,3,3,3,3,1   1
1   1,3,3,3,3,3,3,3,3,3,3,3,3,1   1,3,3,3,3,3,1   1
1   1,54* 1,3,3,3,2   1,20* 1,25o 1,3,3,3,3,3,1   1,52. 1,54- 1,57__1,5   1,57Â¤ 1,1   1
1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1
